City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
183,Sayyan,YE,15.1718,44.3244,50.94,38,2,3.31,clear sky
184,Waddan,LY,29.1614,16.139,59.77,70,2,4.0,clear sky
185,Chunskiy,RU,56.0815,99.6342,25.83,85,98,8.79,overcast clouds
186,Adrian,US,41.8975,-84.0372,58.59,45,0,3.0,clear sky
187,Rome,US,34.257,-85.1647,62.47,70,98,9.62,overcast clouds
188,Tianmen,CN,30.6516,113.1603,79.3,38,1,4.21,clear sky
189,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,88,75,30.87,broken clouds
190,Arona,ES,28.0996,-16.681,67.39,60,0,13.8,clear sky
191,Chapeco,BR,-27.0964,-52.6183,53.28,81,5,2.93,clear sky
192,Ambilobe,MG,-13.2,49.05,71.55,68,98,3.53,overcast clouds
193,Taltal,CL,-25.4,-70.4833,60.37,79,1,2.86,clear sky
194,Lorengau,PG,-2.0226,147.2712,83.3,73,98,2.77,overcast clouds
195,Cremona,IT,45.2333,9.9333,54.81,99,100,0.58,light rain
196,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.33,93,100,6.64,moderate rain
197,Vorukh,TJ,39.8494,70.5838,33.37,38,10,8.37,clear sky
198,San Roque,ES,36.2107,-5.3842,63.43,82,0,9.22,clear sky
199,San Policarpo,PH,12.1791,125.5072,82.83,76,96,8.23,overcast clouds
200,Truro,GB,50.2653,-5.0544,56.48,88,75,12.66,broken clouds
201,Marawi,PH,7.9986,124.2928,80.22,69,74,6.24,broken clouds
202,Beringovskiy,RU,63.05,179.3167,16.3,93,96,3.51,overcast clouds
203,Galle,LK,6.0367,80.217,77.81,80,100,2.57,overcast clouds
204,Bosaso,SO,11.2842,49.1816,79.99,74,6,4.7,clear sky
205,Genhe,CN,50.7833,121.5167,22.69,61,98,2.59,overcast clouds
206,Petrozavodsk,RU,61.7849,34.3469,41.18,98,100,5.3,overcast clouds
207,Lebu,CL,-37.6167,-73.65,54.59,84,67,17.4,broken clouds
208,Kiunga,PG,-6.1219,141.2906,81.68,91,82,1.07,broken clouds
209,Korem,ET,12.5058,39.5228,50.86,87,29,3.36,scattered clouds
210,Port Augusta,AU,-32.5,137.7667,85.28,29,1,10.45,clear sky
211,Alekseyevka,RU,50.6309,38.6903,37.22,85,90,5.28,overcast clouds
212,Mareeba,AU,-17.0,145.4333,84.92,60,89,7.81,overcast clouds
213,Hasaki,JP,35.7333,140.8333,70.29,50,24,17.58,few clouds
