City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Flinders,AU,2022-10-27 21:51:26,-34.5833,150.8552,67.05,57,1,11.99
153,Saint-Philippe,RE,2022-10-27 21:51:27,-21.3585,55.7679,69.39,73,7,8.59
154,Arenal,CO,2022-10-27 21:51:27,8.4593,-73.9433,78.4,94,99,2.91
155,Namatanai,PG,2022-10-27 21:51:28,-3.6667,152.4333,82.94,73,41,5.19
156,Pangnirtung,CA,2022-10-27 21:51:28,66.1451,-65.7125,24.8,93,75,4.61
157,Quchan,IR,2022-10-27 21:51:28,37.106,58.5095,53.33,51,15,5.95
158,Lock Haven,US,2022-10-27 21:51:29,41.137,-77.4469,61.29,52,31,6.2
159,Sao Gabriel Da Cachoeira,BR,2022-10-27 21:51:29,-0.1303,-67.0892,83.26,71,100,1.83
160,Yunyang,CN,2022-10-27 21:51:30,33.4474,112.7142,55.63,70,100,12.17
161,Sao Joao Del Rei,BR,2022-10-27 21:51:30,-21.1356,-44.2617,74.66,51,98,5.26
162,Dwarka,IN,2022-10-27 21:51:31,22.2394,68.9678,78.46,66,0,3.15
163,Poyarkovo,RU,2022-10-27 21:51:31,49.6,128.6833,24.44,56,0,4.0
164,Haines Junction,CA,2022-10-27 21:51:32,60.7522,-137.5108,24.75,58,100,9.22
165,Nagato,JP,2022-10-27 21:51:33,34.3833,131.2,59.22,77,0,8.01
166,Banda Aceh,ID,2022-10-27 21:51:33,5.5577,95.3222,78.76,82,100,10.02
167,Kudahuvadhoo,MV,2022-10-27 21:51:33,2.6708,72.8944,81.23,80,89,15.19
168,Yumen,CN,2022-10-27 21:51:34,40.2833,97.2,41.38,50,100,1.03
169,Saint-Augustin,CA,2022-10-27 21:51:35,51.226,-58.6502,55.42,98,100,12.44
170,Mayor Pablo Lagerenza,PY,2022-10-27 21:51:35,-19.9309,-60.7718,80.06,67,94,4.63
171,Galashki,RU,2022-10-27 21:51:35,43.1136,44.9894,49.15,92,100,0.78
172,Mana,GF,2022-10-27 21:51:36,5.6592,-53.7767,80.64,78,100,16.62
173,Kavaratti,IN,2022-10-27 21:51:37,10.5669,72.642,80.49,59,3,3.71
174,Zyryanka,RU,2022-10-27 21:51:37,65.75,150.85,3.56,85,100,8.93
175,Xuddur,SO,2022-10-27 21:51:38,4.1213,43.8894,72.52,86,50,8.28
176,Turukhansk,RU,2022-10-27 21:51:38,65.8167,87.9833,14.16,90,100,13.0
177,Arroyo Grande,US,2022-10-27 21:51:39,35.1186,-120.5907,78.42,47,0,5.01
178,San Andres,CO,2022-10-27 21:51:39,12.5847,-81.7006,86.02,70,40,5.75
179,Kahului,US,2022-10-27 21:51:40,20.8947,-156.47,87.82,66,40,18.41
180,Vila Velha,BR,2022-10-27 21:52:41,-20.3297,-40.2925,78.75,86,0,18.41
181,Avarua,CK,2022-10-27 21:52:41,-21.2078,-159.775,75.25,78,75,13.8
182,Evanston,US,2022-10-27 21:52:42,42.0411,-87.6901,51.8,63,100,5.01
183,Villarrica,PY,2022-10-27 21:52:42,-25.75,-56.4333,72.77,85,24,3.74
184,Shirgaon,IN,2022-10-27 21:52:43,19.7,72.7,75.56,58,0,5.99
185,Constitucion,CL,2022-10-27 21:52:43,-35.3333,-72.4167,56.98,71,33,14.61
186,Vestmanna,FO,2022-10-27 21:52:43,62.1564,-7.1664,43.72,93,75,3.44
187,Waverly,US,2022-10-27 21:52:44,42.7392,-84.6208,53.76,57,0,3.44
188,Brae,GB,2022-10-27 21:52:44,60.3964,-1.353,51.84,93,95,6.78
189,San Alejo,SV,2022-10-27 21:52:45,13.4314,-87.9631,81.91,80,56,4.43
190,Kamaishi,JP,2022-10-27 21:52:45,39.2667,141.8833,52.86,76,60,4.56
191,Fengzhen,CN,2022-10-27 21:52:46,40.4394,113.1536,41.61,87,48,4.81
192,Ferkessedougou,CI,2022-10-27 21:52:46,9.6,-5.2,79.43,62,86,3.53
193,Nouadhibou,MR,2022-10-27 21:52:47,20.931,-17.0347,69.78,78,53,12.66
194,Jilib,SO,2022-10-27 21:52:47,0.4883,42.7854,73.63,96,5,4.54
195,Mananjary,MG,2022-10-27 21:52:48,-21.2167,48.3333,71.8,86,17,9.15
196,Piacabucu,BR,2022-10-27 21:52:48,-10.4056,-36.4344,75.96,86,91,7.72
197,Saint Andrews,US,2022-10-27 21:52:49,34.0454,-81.1293,72.99,54,40,6.91
198,Port-Gentil,GA,2022-10-27 21:52:49,-0.7193,8.7815,78.76,94,75,9.22
199,Iwakuni,JP,2022-10-27 21:52:49,34.15,132.1833,54.88,76,40,6.91
200,Sungairaya,ID,2022-10-27 21:52:50,0.7,108.9,76.6,90,81,2.24
201,Gullhaug,NO,2022-10-27 21:52:50,59.5,10.25,53.01,60,100,4.59
202,Chanika,TZ,2022-10-27 21:52:51,-5.4167,38.0167,66.76,87,78,5.35
203,Lukovetskiy,RU,2022-10-27 21:52:51,64.2956,41.9211,32.56,98,100,2.39
204,Lampazos De Naranjo,MX,2022-10-27 21:52:52,27.0167,-100.5167,85.66,40,1,6.11
