City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
404,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
405,Angoche,MZ,75.24,scattered clouds,-16.2325,39.9086,Guest House HESADA
409,Arlit,NE,70.65,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
411,Kabanjahe,ID,73.09,light rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
415,Mount Gambier,AU,72.5,overcast clouds,-37.8333,140.7667,The Commodore
416,Bowen,AU,79.83,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
423,Jerantut,MY,82.11,overcast clouds,3.936,102.3626,Jerantut Hill Resort
424,Kudahuvadhoo,MV,80.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
426,Ulladulla,AU,70.25,clear sky,-35.35,150.4667,Sandpiper Motel
428,Waghai,IN,76.89,clear sky,20.7667,73.4833,Rest house waghai
429,Ahipara,NZ,70.09,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
430,Itarema,BR,77.97,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
433,Matara,LK,78.42,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
436,Mana,GF,77.25,overcast clouds,5.6592,-53.7767,LE SAMANA
439,Humaita,BR,74.95,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
441,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
443,Rosetta,EG,66.0,clear sky,31.4044,30.4164,Green Valley
448,Sorong,ID,84.2,broken clouds,-0.8833,131.25,Waigo Splash Hotel
449,General Roca,AR,65.07,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
450,Meulaboh,ID,82.0,broken clouds,4.1363,96.1285,Kost Pria
454,Grenfell,AU,73.6,broken clouds,-33.9,148.1667,Grenfell Royal Hotel
455,Xinan,CN,72.32,overcast clouds,26.72,119.8556,昌雄大酒店
458,Lodwar,KE,82.85,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
465,Camacari,BR,78.57,few clouds,-12.6975,-38.3242,Sítio Blasi
466,Saint-Pierre,RE,76.57,clear sky,-21.3393,55.4781,Alize Plage
476,Labuhan,ID,80.1,overcast clouds,-6.8844,112.2051,DoubleFAG
477,Gwanda,ZW,72.43,few clouds,-20.9333,29.0,Mafax Homeways
478,Saint-Joseph,RE,75.47,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
479,Yanam,IN,81.7,broken clouds,16.7333,82.2167,The Regency Hotel
480,Kisangani,CD,69.03,overcast clouds,0.5167,25.2,Grand Ramela Hotel
485,Asaba,NG,73.83,broken clouds,6.2006,6.7338,Crimson Suite Hotels
489,The Valley,AI,81.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
491,Kieta,PG,84.51,light rain,-6.2167,155.6333,Uruna Bay Retreat
495,Coahuayana,MX,75.15,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
496,Puerto Ayacucho,VE,76.06,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
497,Hervey Bay,AU,72.79,broken clouds,-25.2986,152.8535,Shelly Bay Resort
499,Ankazoabo,MG,72.84,few clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
502,Valenca,BR,71.42,scattered clouds,-13.3703,-39.0731,Hotel Galeão
503,Serik,TR,66.74,clear sky,36.9169,31.0989,Tui Day & Night Connected
504,San-Pedro,CI,76.28,light rain,4.7485,-6.6363,Hotel Maria
508,Beberibe,BR,77.95,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
510,Nishihara,JP,74.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
515,Pasni,PK,78.78,clear sky,25.2631,63.471,Kashmiri Hotal
518,Soyo,AO,77.38,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
519,Byron Bay,AU,73.94,clear sky,-28.65,153.6167,Backpackers Inn
521,Macapa,BR,80.58,scattered clouds,0.0389,-51.0664,Atalanta Hotel
523,Yenangyaung,MM,81.16,clear sky,20.4667,94.8833,Hotel Country
524,Takhatgarh,IN,76.06,clear sky,25.3333,73.0,Jagdamba bhawan
525,Manono,CD,67.6,light rain,-7.3,27.4167,Hotel hewa bora
526,Iralaya,HN,76.96,broken clouds,15.0,-83.2333,Iglesia morava renovada
531,Amboasary,MG,77.56,clear sky,-25.0333,46.3833,Le Bon Samaritain
532,Emerald,AU,80.35,overcast clouds,-23.5333,148.1667,Emerald Inn
538,Pokhara,NP,67.39,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
539,Sawakin,SD,81.3,broken clouds,19.1059,37.3321,فندق الدويم
540,Lhokseumawe,ID,79.63,heavy intensity rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
541,Gizo,SB,83.21,moderate rain,-8.103,156.8419,Imagination Island
542,Huainan,CN,75.15,clear sky,32.6264,116.9969,GME Huainan Tianjiaan District Chaoyang East Road Hotel
543,Isla Mujeres,MX,73.45,moderate rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
545,Brokopondo,SR,76.21,overcast clouds,4.75,-55.1667,Matu Island
546,Bongaree,AU,76.51,scattered clouds,-27.0797,153.1586,The Gums Anchorage
547,Ayodhya,IN,74.46,clear sky,26.8,82.2,SPOT ON 72422 Shree Maruti Nandan
552,Upata,VE,73.18,moderate rain,8.0086,-62.3989,Posada Villa Nela
560,Wamba,NG,72.46,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
561,Dingle,PH,85.23,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
564,Sur,OM,80.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
567,Vung Tau,VN,82.38,overcast clouds,10.346,107.0843,Seaside Resort
568,Tanda,IN,74.95,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
569,Pasco,US,68.95,overcast clouds,28.292,-82.4165,Connection Community/Park
570,Pirapemas,BR,72.1,few clouds,-3.7267,-44.2233,HOTEL DA LOURA
571,Mabaruma,GY,72.97,light rain,8.2,-59.7833,Monty Brooms Guest House
575,Sanming,CN,82.67,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
579,Saint Marys,US,68.11,mist,30.7305,-81.5465,Spencer House Inn by Brham
580,Pakenham,AU,83.46,overcast clouds,-38.0667,145.4833,Pakenham Ranges
583,Guerrero Negro,MX,65.16,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
585,Tura,IN,72.88,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
586,Adelaide,AU,76.08,broken clouds,-34.9333,138.6,The Chancellor on Currie
588,San Juan,AR,77.27,few clouds,-31.5375,-68.5364,Hotel Provincial
589,Sola,VU,81.99,scattered clouds,-13.8833,167.55,Leumerus Bungalows
591,Jaguey Grande,CU,73.49,light rain,22.5269,-81.1286,Barberia hendrix
592,Nueva Gorgona,PA,80.22,moderate rain,8.55,-79.8667,Coronado Luxury Club & Suites
596,Sao Gabriel Da Cachoeira,BR,73.18,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
597,Sumbe,AO,73.89,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
600,Le Port,RE,76.89,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
601,Janauba,BR,75.72,broken clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
603,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
606,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
608,Nador,MA,68.25,clear sky,35.174,-2.9287,Hôtel La Giralda
612,Nanchang,CN,77.76,scattered clouds,28.6833,115.8833,Ruidu Hotel
614,Owando,CG,70.81,moderate rain,-0.4819,15.8999,Exaunel Hotel Owando
616,Vila Franca Do Campo,PT,69.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
623,Esmeraldas,BR,67.06,light rain,-19.7625,-44.3139,Forasteiro Pousada
